english,thai,lesson,id
hello,sawadee,1,“”
to come,maa,1,“”
yes,chai,1,“”
no,mai,1,“”
teacher,kru,1,“”
you,kun,1,“”
good,dee,1,“”
island,goh,1,“”
beach,haad,1,“”
long,yao,1,“”
to pray,wai,1,“”
not good,mai dee,1,“”
not correct,mai chai,1,“”
not true,mai jing,1,“”
"sick, not feel good",mai sabai,1,“”
"don't want, don’t take",mai aao,1,“”
sorry,koh tod,1,“”
"older, excuse me",pii ,1,“”
"younger, excuse me",nong,1,“”
sibling,pii nong,1,“”
you,kun,1,“”
very good,dee maag,1,“”
very very good,dee maag maag,1,“”
little bit,nid noi,1,“”
very little bit,niiid noi,1,“”
water,nam,1,“”
to swim,swim,1,“”
"i, hair","pom, chan",1,“”
name,cheu,1,“”
"your welcome, my pleasure",yin dee,1,“”
"in, out, at",tii,1,“”
can,dai,1,“”
can not,mai dai,1,“”
to know something,ruu,1,“”
to know some one or place,ruu jag,1,“”
to speak,puud,1,“”
language,pasa,1,“”
foreigner,farang,1,“”
what,arai,1,“”
maybe,haa sib,1,“”
shop,raan,1,“”
